show,season,ep,title,city_or_area,country,state,coordinates,source,lat,long,tt,country_clean
No Reservations,9,4,Emilia Romagna,Modena,Italy,NA,"44.647128,10.925227",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,44.647128,10.925227,"Season 9 | Ep. 4 | Modena, Italy",Italy
No Reservations,9,5,Burgundy,Morey-Saint-Denis,France,NA,"47.195673,4.962496",https://www.imdb.com/title/tt2388842/locations?ref_=tt_dt_dt,47.195673,4.962496,"Season 9 | Ep. 5 | Morey-Saint-Denis, France",France
No Reservations,9,5,Burgundy,Pacy-sur-Armançon,France,NA,"47.777121,4.094861",https://www.imdb.com/title/tt2388842/locations?ref_=tt_dt_dt,47.777121,4.094861,"Season 9 | Ep. 5 | Pacy-sur-Armançon, France",France
No Reservations,9,5,Burgundy,Beaune,France,NA,"47.026030,4.840004",https://www.imdb.com/title/tt2388842/locations?ref_=tt_dt_dt,47.02603,4.840004,"Season 9 | Ep. 5 | Beaune, France",France
No Reservations,9,5,Burgundy,Nuits-Saint-Georges,France,NA,"47.137985,4.950320",https://www.imdb.com/title/tt2388842/locations?ref_=tt_dt_dt,47.137985,4.95032,"Season 9 | Ep. 5 | Nuits-Saint-Georges, France",France
No Reservations,9,5,Burgundy,Auxerre,France,NA,"47.798202,3.573781",https://www.imdb.com/title/tt2388842/locations?ref_=tt_dt_dt,47.798202,3.573781,"Season 9 | Ep. 5 | Auxerre, France",France
No Reservations,9,5,Burgundy,Yonne,France,NA,"47.865273,3.607982",https://www.imdb.com/title/tt2388842/locations?ref_=tt_dt_dt,47.865273,3.607982,"Season 9 | Ep. 5 | Yonne, France",France
No Reservations,9,5,Burgundy,Noyers,France,NA,"47.695641,3.995663",https://www.imdb.com/title/tt2388842/locations?ref_=tt_dt_dt,47.695641,3.995663,"Season 9 | Ep. 5 | Noyers, France",France
No Reservations,9,5,Burgundy,Vézelay,France,NA,"47.465674,3.746143",https://www.imdb.com/title/tt2388842/locations?ref_=tt_dt_dt,47.465674,3.746143,"Season 9 | Ep. 5 | Vézelay, France",France
No Reservations,9,5,Burgundy,Saint-Père,France,NA,"47.459395,3.765224",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,47.459395,3.765224,"Season 9 | Ep. 5 | Saint-Père, France",France
No Reservations,9,6,Seven Deadly Sins,Rome,Italy,NA,NA,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,41.9027835,12.4963655,"Season 9 | Ep. 6 | Rome, Italy",Italy
No Reservations,9,7,Rio,Rio de Janeiro,Brazil,NA,"-22.906847,-43.172896",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,-22.906847,-43.172896,"Season 9 | Ep. 7 | Rio de Janeiro, Brazil",Brazil
No Reservations,9,8,Off The Charts,Cluj-Napoca,Romania,NA,NA,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,46.7712101,23.6236353,"Season 9 | Ep. 8 | Cluj-Napoca, Romania",Romania
No Reservations,9,9,Dominican Republic,Santo Domingo,Dominican Republic,NA,"18.486058,-69.931212",https://www.imdb.com/title/tt2388854/locations?ref_=tt_dt_dt,18.486058,-69.931212,"Season 9 | Ep. 9 | Santo Domingo, Dominican Republic",Dominican Republic
No Reservations,9,9,NA,Playa Rincon,Dominican Republic,NA,"19.289455,-69.249945",https://www.imdb.com/title/tt2388854/locations?ref_=tt_dt_dt,19.289455,-69.249945,"Season 9 | Ep. 9 | Playa Rincon, Dominican Republic",Dominican Republic
No Reservations,9,9,NA,Samaná,Dominican Republic,NA,"19.203076,-69.338766",https://www.imdb.com/title/tt2388854/locations?ref_=tt_dt_dt,19.203076,-69.338766,"Season 9 | Ep. 9 | Samaná, Dominican Republic",Dominican Republic
No Reservations,9,10,Brooklyn,"Brooklyn, New York",United States,New York,"40.678178,-73.944158",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,40.678178,-73.944158,"Season 9 | Ep. 10 | Brooklyn, New York, United States",USA
The Layover,1,1,Singapore,Singapore,Singapore,NA,"1.352083,103.819836",https://en.wikipedia.org/wiki/The_Layover,1.352083,103.819836,"Season 1 | Ep. 1 | Singapore, Singapore",Singapore
The Layover,1,2,New York,New York,United States,New York,"40.712775,-74.005973",https://en.wikipedia.org/wiki/The_Layover,40.712775,-74.005973,"Season 1 | Ep. 2 | New York, United States",USA
The Layover,1,3,Rome,Rome,Italy,NA,"41.902783,12.496366",https://en.wikipedia.org/wiki/The_Layover,41.902783,12.496366,"Season 1 | Ep. 3 | Rome, Italy",Italy
The Layover,1,4,Miami,Miami,United States,Florida,"25.761680,-80.191790",https://en.wikipedia.org/wiki/The_Layover,25.76168,-80.19179,"Season 1 | Ep. 4 | Miami, United States",USA
The Layover,1,5,Hong Kong,Hong Kong,China,NA,"22.396428,114.109497",https://en.wikipedia.org/wiki/The_Layover,22.396428,114.109497,"Season 1 | Ep. 5 | Hong Kong, China",China
The Layover,1,6,Montreal,"Montreal, Quebec",Canada,NA,"45.501689,-73.567256",https://en.wikipedia.org/wiki/The_Layover,45.501689,-73.567256,"Season 1 | Ep. 6 | Montreal, Quebec, Canada",Canada
The Layover,1,7,Amsterdam,Amsterdam,Netherlands,NA,"52.370216,4.895168",https://en.wikipedia.org/wiki/The_Layover,52.370216,4.895168,"Season 1 | Ep. 7 | Amsterdam, Netherlands",Netherlands
The Layover,1,8,San Francisco,San Francisco,United States,California,"37.774929,-122.419416",https://en.wikipedia.org/wiki/The_Layover,37.774929,-122.419416,"Season 1 | Ep. 8 | San Francisco, United States",USA
The Layover,1,9,London,London,"England, United Kingdom",NA,"51.507351,-0.127758",https://en.wikipedia.org/wiki/The_Layover,51.507351,-0.127758,"Season 1 | Ep. 9 | London, England, United Kingdom",England
The Layover,1,10,Los Angeles,Los Angeles,United States,California,"34.052234,-118.243685",https://en.wikipedia.org/wiki/The_Layover,34.052234,-118.243685,"Season 1 | Ep. 10 | Los Angeles, United States",USA
The Layover,2,1,Chicago,Chicago,United States,NA,"41.878114,-87.629798",https://en.wikipedia.org/wiki/The_Layover,41.878114,-87.629798,"Season 2 | Ep. 1 | Chicago, United States",USA
The Layover,2,2,Paris,Paris,France,NA,"48.856614,2.352222",https://en.wikipedia.org/wiki/The_Layover,48.856614,2.352222,"Season 2 | Ep. 2 | Paris, France",France
The Layover,2,3,Philadelphia,Philadelphia,United States,Pennsylvania,"39.952584,-75.165222",https://en.wikipedia.org/wiki/The_Layover,39.952584,-75.165222,"Season 2 | Ep. 3 | Philadelphia, United States",USA
The Layover,2,4,São Paulo,São Paulo,Brazil,NA,"-23.550520,-46.633309",https://en.wikipedia.org/wiki/The_Layover,-23.55052,-46.633309,"Season 2 | Ep. 4 | São Paulo, Brazil",Brazil
The Layover,2,5,Toronto,Toronto,Canada,NA,"43.653226,-79.383184",https://en.wikipedia.org/wiki/The_Layover,43.653226,-79.383184,"Season 2 | Ep. 5 | Toronto, Canada",Canada
The Layover,2,6,Dublin,Dublin,Ireland,NA,"53.349805,-6.260310",https://en.wikipedia.org/wiki/The_Layover,53.349805,-6.26031,"Season 2 | Ep. 6 | Dublin, Ireland",Ireland
The Layover,2,7,Atlanta,Atlanta,United States,Georgia,"33.748995,-84.387982",https://en.wikipedia.org/wiki/The_Layover,33.748995,-84.387982,"Season 2 | Ep. 7 | Atlanta, United States",USA
The Layover,2,8,Taipei,Taipei,Taiwan,NA,"25.032969,121.565418",https://en.wikipedia.org/wiki/The_Layover,25.032969,121.565418,"Season 2 | Ep. 8 | Taipei, Taiwan",Taiwan
The Layover,2,9,New Orleans,New Orleans,United States,Louisiana,"29.951066,-90.071532",https://en.wikipedia.org/wiki/The_Layover,29.951066,-90.071532,"Season 2 | Ep. 9 | New Orleans, United States",USA
The Layover,2,10,Seattle,Seattle,United States,Washington,"47.606209,-122.332071",https://en.wikipedia.org/wiki/The_Layover,47.606209,-122.332071,"Season 2 | Ep. 10 | Seattle, United States",USA
Parts Unknown,1,1,Myanmar,Yangon,Myanmar,NA,"16.866069,96.195132",https://www.imdb.com/title/tt2849368/locations?ref_=tt_dt_dt,16.866069,96.195132,"Season 1 | Ep. 1 | Yangon, Myanmar",Myanmar
Parts Unknown,1,1,Myanmar,Bagan,Myanmar,NA,"21.171727,94.858546",https://www.imdb.com/title/tt2849368/locations?ref_=tt_dt_dt,21.171727,94.858546,"Season 1 | Ep. 1 | Bagan, Myanmar",Myanmar
Parts Unknown,1,2,Los Angeles,"Koreatown, Los Angeles",United States,California,"34.060988,-118.302358",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,34.060988,-118.302358,"Season 1 | Ep. 2 | Koreatown, Los Angeles, United States",USA
Parts Unknown,1,2,Los Angeles,"Venice, Los Angeles",United States,California,"33.985047,-118.469483",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,33.985047,-118.469483,"Season 1 | Ep. 2 | Venice, Los Angeles, United States",USA
Parts Unknown,1,2,Los Angeles,"Los Feliz, Los Angeles",United States,California,"34.106331,-118.284820",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,34.106331,-118.28482,"Season 1 | Ep. 2 | Los Feliz, Los Angeles, United States",USA
Parts Unknown,1,2,Los Angeles,"Whittier Boulevard, East Los Angeles",United States,California,"34.020798,-118.159085",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,34.020798,-118.159085,"Season 1 | Ep. 2 | Whittier Boulevard, East Los Angeles, United States",USA
Parts Unknown,1,3,Colombia,Meta,Colombia,NA,"3.271990,-73.087749",https://www.imdb.com/title/tt2849394/locations?ref_=tt_dt_dt,3.27199,-73.087749,"Season 1 | Ep. 3 | Meta, Colombia",Colombia
Parts Unknown,1,3,Colombia,Guaviare,Colombia,NA,"2.043924,-72.331113",https://www.imdb.com/title/tt2849394/locations?ref_=tt_dt_dt,2.043924,-72.331113,"Season 1 | Ep. 3 | Guaviare, Colombia",Colombia
Parts Unknown,1,3,Colombia,Bogotá,Colombia,NA,"4.710989,-74.072092",https://www.imdb.com/title/tt2849394/locations?ref_=tt_dt_dt,4.710989,-74.072092,"Season 1 | Ep. 3 | Bogotá, Colombia",Colombia
Parts Unknown,1,3,Colombia,Valle del Cauca,Colombia,NA,"3.800889,-76.641271",https://www.imdb.com/title/tt2849394/locations?ref_=tt_dt_dt,3.800889,-76.641271,"Season 1 | Ep. 3 | Valle del Cauca, Colombia",Colombia
Parts Unknown,1,3,Colombia,La Guajira,Colombia,NA,"11.354774,-72.520483",https://www.imdb.com/title/tt2849394/locations?ref_=tt_dt_dt,11.354774,-72.520483,"Season 1 | Ep. 3 | La Guajira, Colombia",Colombia
Parts Unknown,1,4,Quebec,"Montreal, Quebec",Canada,NA,"45.501689,-73.567256",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,45.501689,-73.567256,"Season 1 | Ep. 4 | Montreal, Quebec, Canada",Canada
Parts Unknown,1,4,Quebec,"Quebec City, Quebec",Canada,NA,"46.813878,-71.207981",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,46.813878,-71.207981,"Season 1 | Ep. 4 | Quebec City, Quebec, Canada",Canada
Parts Unknown,1,5,Morocco (Tangier),Tangier,Morocco,NA,"35.759465,-5.833954",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,35.759465,-5.833954,"Season 1 | Ep. 5 | Tangier, Morocco",Morocco
Parts Unknown,1,6,Libya,Tripoli,Libya,NA,"35.759820,-5.834237",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,35.75982,-5.834237,"Season 1 | Ep. 6 | Tripoli, Libya",Libya
Parts Unknown,1,6,Libya,Al Khums,Libya,NA,"32.650951,14.267899",https://www.imdb.com/title/tt2849400/locations?ref_=tt_dt_dt,32.650951,14.267899,"Season 1 | Ep. 6 | Al Khums, Libya",Libya
Parts Unknown,1,6,Libya,Misrata,Libya,NA,"32.325588,15.099256",https://www.imdb.com/title/tt2849400/locations?ref_=tt_dt_dt,32.325588,15.099256,"Season 1 | Ep. 6 | Misrata, Libya",Libya
Parts Unknown,1,6,Libya,Murqub,Libya,NA,"32.459968,14.100133",https://www.imdb.com/title/tt2849400/locations?ref_=tt_dt_dt,32.459968,14.100133,"Season 1 | Ep. 6 | Murqub, Libya",Libya
Parts Unknown,1,7,Peru,Lima,Peru,NA,"-12.046373,-77.042754",https://www.imdb.com/title/tt2849408/locations?ref_=tt_dt_dt,-12.046373000000001,-77.042754,"Season 1 | Ep. 7 | Lima, Peru",Peru
Parts Unknown,1,7,Peru,Chiclayo,Peru,NA,"-6.776597,-79.844298",https://www.imdb.com/title/tt2849408/locations?ref_=tt_dt_dt,-6.776597,-79.844298,"Season 1 | Ep. 7 | Chiclayo, Peru",Peru
Parts Unknown,1,8,Congo,"Goma, North Kivu",Democratic Republic of the Congo,NA,"-1.658501,29.220455",https://www.imdb.com/title/tt2849384/locations?ref_=tt_dt_dt,-1.658501,29.220455,"Season 1 | Ep. 8 | Goma, North Kivu, Democratic Republic of the Congo",Democratic Republic of the Congo
Parts Unknown,1,8,Congo,"Kisangani, Orientale",Democratic Republic of the Congo,NA,"0.518530,25.200773",https://www.imdb.com/title/tt2849384/locations?ref_=tt_dt_dt,0.51853,25.200773,"Season 1 | Ep. 8 | Kisangani, Orientale, Democratic Republic of the Congo",Democratic Republic of the Congo
Parts Unknown,2,2,Jerusalem,Jerusalem,Israel,NA,"31.768319,35.213710",https://www.imdb.com/title/tt3285356/?ref_=ttep_ep1,31.768319,35.21371,"Season 2 | Ep. 2 | Jerusalem, Israel",Israel
Parts Unknown,2,2,Jerusalem,"Aida, West Bank",Palestine,NA,"31.946570,35.302723",https://www.imdb.com/title/tt3285356/?ref_=ttep_ep1,31.94657,35.302723,"Season 2 | Ep. 2 | Aida, West Bank, Palestine",Palestine
Parts Unknown,2,2,Jerusalem,Bethlehem,Palestine,NA,"31.705382,35.202442",https://www.imdb.com/title/tt3285356/?ref_=ttep_ep1,31.705382,35.202442,"Season 2 | Ep. 2 | Bethlehem, Palestine",Palestine
Parts Unknown,2,2,Jerusalem,Ein Rafa,Israel,NA,"31.790605,35.116514",https://www.imdb.com/title/tt3285356/?ref_=ttep_ep1,31.790605,35.116514,"Season 2 | Ep. 2 | Ein Rafa, Israel",Israel
Parts Unknown,2,2,Jerusalem,Gaza,Palestine,NA,"31.354676,34.308826",https://www.imdb.com/title/tt3285356/?ref_=ttep_ep1,31.354676,34.308826,"Season 2 | Ep. 2 | Gaza, Palestine",Palestine
Parts Unknown,2,2,Jerusalem,Bror Hayil,Israel,NA,"31.556985,34.646547",https://www.imdb.com/title/tt3285356/?ref_=ttep_ep1,31.556985,34.646547,"Season 2 | Ep. 2 | Bror Hayil, Israel",Israel
Parts Unknown,2,2,Jerusalem,Ramallah,Palestine,NA,"31.903764,35.203418",https://www.imdb.com/title/tt3285356/?ref_=ttep_ep1,31.903764,35.203418,"Season 2 | Ep. 2 | Ramallah, Palestine",Palestine
Parts Unknown,2,3,Spain,"Granada, Andalucia",Spain,NA,"37.177336,-3.598557",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,37.177336,-3.598557,"Season 2 | Ep. 3 | Granada, Andalucia, Spain",Spain
Parts Unknown,2,4,New Mexico,Santa Fe,United States,New Mexico,"35.686975,-105.937799",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,35.686975,-105.937799,"Season 2 | Ep. 4 | Santa Fe, United States",USA
Parts Unknown,2,4,New Mexico,Zia Pueblo,United States,New Mexico,"35.506976,-106.720311",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,35.506976,-106.720311,"Season 2 | Ep. 4 | Zia Pueblo, United States",USA
Parts Unknown,2,4,New Mexico,Alberquerque,United States,New Mexico,"35.084386,-106.650422",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,35.084386,-106.650422,"Season 2 | Ep. 4 | Alberquerque, United States",USA
Parts Unknown,2,5,Copenhagen,Copenhagen,Denmark,NA,"55.676097,12.568337",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,55.676097,12.568337,"Season 2 | Ep. 5 | Copenhagen, Denmark",Denmark
Parts Unknown,2,6,Sicily,NA,Sicily,NA,"37.599994,14.015356",http://anthonybourdain.tumblr.com/post/63750682556/failure,37.599994,14.015356,"Season 2 | Ep. 6 | NA, Sicily",Sicily
Parts Unknown,2,7,South Africa,Johannesburg,South Africa,NA,"-26.204103,28.047305",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,-26.204103,28.047305,"Season 2 | Ep. 7 | Johannesburg, South Africa",South Africa
Parts Unknown,2,8,Tokyo,Tokyo,Japan,NA,"35.689487,139.691706",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,35.689487,139.691706,"Season 2 | Ep. 8 | Tokyo, Japan",Japan
Parts Unknown,2,9,Detroit,Detroit,United States,Michigan,"42.331427,-83.045754",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,42.331427,-83.045754,"Season 2 | Ep. 9 | Detroit, United States",USA
Parts Unknown,3,2,"Punjab, India","Amritsar, Punjab",India,NA,"31.633979,74.872264",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,31.633979,74.872264,"Season 3 | Ep. 2 | Amritsar, Punjab, India",India
Parts Unknown,3,3,Las Vegas,Las Vegas,United States,Nevada,"36.169941,-115.139830",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,36.169941,-115.13983,"Season 3 | Ep. 3 | Las Vegas, United States",USA
Parts Unknown,3,4,Lyon,Lyon,France,NA,"45.764043,4.835659",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,45.764043,4.835659,"Season 3 | Ep. 4 | Lyon, France",France
Parts Unknown,3,5,Mexico City,Mexico City,Mexico,NA,"19.432608,-99.133208",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,19.432608,-99.133208,"Season 3 | Ep. 5 | Mexico City, Mexico",Mexico
Parts Unknown,3,5,Mexico City,Oaxaca,Mexico,NA,"17.073184,-96.726589",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,17.073184,-96.726589,"Season 3 | Ep. 5 | Oaxaca, Mexico",Mexico
Parts Unknown,3,5,Mexico City,Cuernavaca,Mexico,NA,"18.924209,-99.221566",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,18.924209,-99.221566,"Season 3 | Ep. 5 | Cuernavaca, Mexico",Mexico
Parts Unknown,3,6,Russia,Moscow,Russia,NA,"55.755826,37.617300",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,55.755826,37.6173,"Season 3 | Ep. 6 | Moscow, Russia",Russia
Parts Unknown,3,6,Russia,St. Petersburg,Russia,NA,"59.934280,30.335099",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,59.93428,30.335099,"Season 3 | Ep. 6 | St. Petersburg, Russia",Russia
Parts Unknown,3,7,Mississippi Delta,Jackson,United States,Mississippi,"32.298757,-90.184810",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,32.298757,-90.18481,"Season 3 | Ep. 7 | Jackson, United States",USA
Parts Unknown,3,7,Mississippi Delta,Merigold,United States,Mississippi,"33.839001,-90.726209",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,33.839001,-90.726209,"Season 3 | Ep. 7 | Merigold, United States",USA
Parts Unknown,3,8,Thailand,Chiang Mai Province,Thailand,NA,"18.787747,98.993128",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,18.787747,98.993128,"Season 3 | Ep. 8 | Chiang Mai Province, Thailand",Thailand
Parts Unknown,3,9,"Bahia, Brazil",Bahia,Brazil,NA,"-12.579738,-41.700727",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,-12.579738,-41.700727,"Season 3 | Ep. 9 | Bahia, Brazil",Brazil
Parts Unknown,4,2,Shanghai,Shanghai,China,NA,"31.230390,121.473702",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,31.23039,121.473702,"Season 4 | Ep. 2 | Shanghai, China",China
Parts Unknown,4,3,The Bronx,"The Bronx, New York",United States,New York,"40.844782,-73.864827",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,40.844782,-73.864827,"Season 4 | Ep. 3 | The Bronx, New York, United States",USA
Parts Unknown,4,4,Paraguay,Asunción,Paraguay,NA,"-25.263740,-57.575926",https://www.cnn.com/travel/article/paraguay-parts-unknown-season-4-ep-3/index.html,-25.26374,-57.575926,"Season 4 | Ep. 4 | Asunción, Paraguay",Paraguay
Parts Unknown,4,5,Vietnam,Huế,Vietnam,NA,"16.463712,107.590863",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,16.463712,107.590863,"Season 4 | Ep. 5 | Huế, Vietnam",Vietnam
Parts Unknown,4,5,Vietnam,Quảng Trị,Vietnam,NA,"16.794347,106.963409",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,16.794347,106.963409,"Season 4 | Ep. 5 | Quảng Trị, Vietnam",Vietnam
Parts Unknown,4,6,Tanzania,Zanzibar,Tanzania,NA,"-6.135730,39.362120",https://www.imdb.com/title/tt4129732/plotsummary?ref_=tt_ov_pl,-6.13573,39.36212,"Season 4 | Ep. 6 | Zanzibar, Tanzania",Tanzania
Parts Unknown,4,6,Tanzania,Serengeti,Tanzania,NA,"-2.153994,34.685651",https://www.imdb.com/title/tt4129732/plotsummary?ref_=tt_ov_pl,-2.153994,34.685651,"Season 4 | Ep. 6 | Serengeti, Tanzania",Tanzania
Parts Unknown,4,6,Tanzania,Ngorongoro Crater,Tanzania,NA,"-3.161752,35.587670",https://www.imdb.com/title/tt4129732/plotsummary?ref_=tt_ov_pl,-3.161752,35.58767,"Season 4 | Ep. 6 | Ngorongoro Crater, Tanzania",Tanzania
Parts Unknown,4,7,Iran,Isfana,Iran,NA,"32.654627,51.667983",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,32.654627,51.667983,"Season 4 | Ep. 7 | Isfana, Iran",Iran
Parts Unknown,4,7,Iran,Tehran,Iran,NA,"35.689197,51.388974",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,35.689197,51.388974,"Season 4 | Ep. 7 | Tehran, Iran",Iran
Parts Unknown,4,8,Massachusetts,Provincetown,United States,Massachusetts,"42.058441,-70.178643",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,42.058441,-70.178643,"Season 4 | Ep. 8 | Provincetown, United States",USA
Parts Unknown,4,8,Massachusetts,Franklin County,United States,Massachusetts,"42.530599,-72.615117",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,42.530599,-72.615117,"Season 4 | Ep. 8 | Franklin County, United States",USA
Parts Unknown,4,9,Jamaica,Port Antonio,Jamaica,NA,"18.171276,-76.447632",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,18.171276,-76.447632,"Season 4 | Ep. 9 | Port Antonio, Jamaica",Jamaica
Parts Unknown,4,9,Jamaica,Oracabessa,Jamaica,NA,"18.403475,-76.938379",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,18.403475,-76.938379,"Season 4 | Ep. 9 | Oracabessa, Jamaica",Jamaica
Parts Unknown,5,2,Korea,Seoul,South Korea,NA,"37.566535,126.977969",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,37.566535,126.977969,"Season 5 | Ep. 2 | Seoul, South Korea",South Korea
Parts Unknown,5,3,Miami,Miami,United States,Florida,"25.761680,-80.191790",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,25.76168,-80.19179,"Season 5 | Ep. 3 | Miami, United States",USA
Parts Unknown,5,4,Scotland,Glasgow,"Scotland, United Kingdom",NA,"55.864237,-4.251806",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,55.864237,-4.251806,"Season 5 | Ep. 4 | Glasgow, Scotland, United Kingdom",Scotland
Parts Unknown,5,5,Madagascar,Antananarivo,Madagascar,NA,"-18.879190,47.507905",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,-18.87919,47.507905,"Season 5 | Ep. 5 | Antananarivo, Madagascar",Madagascar
Parts Unknown,5,6,New Jersey,Barnegat Light,United States,New Jersey,"39.757620,-74.106247",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,39.75762,-74.106247,"Season 5 | Ep. 6 | Barnegat Light, United States",USA
Parts Unknown,5,6,New Jersey,Atlantic City,United States,New Jersey,"39.364283,-74.422927",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,39.364283,-74.422927,"Season 5 | Ep. 6 | Atlantic City, United States",USA
Parts Unknown,5,6,New Jersey,Fort Lee,United States,New Jersey,"40.850933,-73.970138",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,40.850933,-73.970138,"Season 5 | Ep. 6 | Fort Lee, United States",USA
Parts Unknown,5,6,New Jersey,Asbury Park,United States,New Jersey,"40.220391,-74.012082",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,40.220391,-74.012082,"Season 5 | Ep. 6 | Asbury Park, United States",USA
Parts Unknown,5,6,New Jersey,Camden,United States,New Jersey,"39.925946,-75.119620",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,39.925946,-75.11962,"Season 5 | Ep. 6 | Camden, United States",USA
Parts Unknown,5,7,Budapest,Budapest,Hungary,NA,"47.497912,19.040235",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,47.497912,19.040235,"Season 5 | Ep. 7 | Budapest, Hungary",Hungary
Parts Unknown,5,8,Hawaii,Honolulu,United States,Hawaii,"21.306944,-157.858333",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,21.306944,-157.858333,"Season 5 | Ep. 8 | Honolulu, United States",USA
Parts Unknown,5,8,Hawaii,Molokai,United States,Hawaii,"21.144393,-157.022630",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,21.144393,-157.02263,"Season 5 | Ep. 8 | Molokai, United States",USA
Parts Unknown,5,9,Beirut,Beirut,Lebanon,NA,"33.893791,35.501777",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,33.893791,35.501777,"Season 5 | Ep. 9 | Beirut, Lebanon",Lebanon
Parts Unknown,6,2,Cuba,Havana,Cuba,NA,"23.113592,-82.366596",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,23.113592,-82.366596,"Season 6 | Ep. 2 | Havana, Cuba",Cuba
Parts Unknown,6,2,Cuba,Santiago,Cuba,NA,"20.016930,-75.830154",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,20.01693,-75.830154,"Season 6 | Ep. 2 | Santiago, Cuba",Cuba
Parts Unknown,6,3,"Marseille, France",Marseille,France,NA,"43.296482,5.369780",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,43.296482,5.36978,"Season 6 | Ep. 3 | Marseille, France",France
Parts Unknown,6,4,Okinawa,"Okinawa, Japan",Japan,NA,"26.212401,127.680932",https://en.wikipedia.org/wiki/Anthony_Bourdain:_Parts_Unknown,26.212401,127.680932,"Season 6 | Ep. 4 | Okinawa, Japan, Japan",Japan
