show,season,ep,title,city_or_area,country,state,coordinates,source,lat,long,tt,country_clean
No Reservations,5,20,Sardinia,Sardinia,Italy,NA,"40.120875,9.012893",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,40.120875,9.012893,"Season 5 | Ep. 20 | Sardinia, Italy",Italy
No Reservations,6,1,Panama,Panama City,Panama,NA,"8.982379,-79.519870",http://www.noreservationslocations.com/panama-episode.html,8.982379,-79.51987,"Season 6 | Ep. 1 | Panama City, Panama",Panama
No Reservations,6,2,Istanbul,Istanbul,Turkey,NA,"41.008238,28.978359",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,41.008238,28.978359,"Season 6 | Ep. 2 | Istanbul, Turkey",Turkey
No Reservations,6,3,Brittany,Brittany,France,NA,"48.202047,-2.932644",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,48.202047,-2.932644,"Season 6 | Ep. 3 | Brittany, France",France
No Reservations,6,4,Prague,Prague,Czech Republic,NA,"50.075538,14.437800",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,50.075538,14.4378,"Season 6 | Ep. 4 | Prague, Czech Republic",Czech Republic
No Reservations,6,5,"Hudson Valley, NY",Hudson Valley,United States,New York,"41.920902,-73.961289",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,41.920902,-73.961289,"Season 6 | Ep. 5 | Hudson Valley, United States",USA
No Reservations,6,6,Ecuador,Quito,Ecuador,NA,"-0.180653,-78.467838",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,-0.180653,-78.467838,"Season 6 | Ep. 6 | Quito, Ecuador",Ecuador
No Reservations,6,6,Ecuador,Guayaquil,Ecuador,NA,"-2.170998,-79.922359",http://www.noreservationslocations.com/ecuador-episode.html,-2.170998,-79.922359,"Season 6 | Ep. 6 | Guayaquil, Ecuador",Ecuador
No Reservations,6,7,Obsessed,New York City,USA,NA,NA,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,40.7127753,-74.0059728,"Season 6 | Ep. 7 | New York City, USA",USA
No Reservations,6,8,"Harbin, China",Harbin,China,NA,"45.803775,126.534967",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,45.803775,126.534967,"Season 6 | Ep. 8 | Harbin, China",China
No Reservations,6,9,Provence,Provence,France,NA,"44.014494,6.211644",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,44.014494,6.211644,"Season 6 | Ep. 9 | Provence, France",France
No Reservations,6,10,Vietnam: Central Highlands,Dalat,Vietnam,NA,"11.940419,108.458313",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,11.940419,108.458313,"Season 6 | Ep. 10 | Dalat, Vietnam",Vietnam
No Reservations,6,10,Vietnam: Central Highlands,Hanoi,Vietnam,NA,"21.027764,105.834160",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,21.027764,105.83416,"Season 6 | Ep. 10 | Hanoi, Vietnam",Vietnam
No Reservations,6,11,Techniques Special,New York City,USA,NA,NA,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,40.7127753,-74.0059728,"Season 6 | Ep. 11 | New York City, USA",USA
No Reservations,6,12,Maine,Rockland,United States,Maine,"44.103691,-69.108929",http://www.noreservationslocations.com/maine-episode.html,44.103691,-69.108929,"Season 6 | Ep. 12 | Rockland, United States",USA
No Reservations,6,12,Maine,Portland,United States,Maine,"43.659099,-70.256819",http://www.noreservationslocations.com/maine-episode.html,43.659099,-70.256819,"Season 6 | Ep. 12 | Portland, United States",USA
No Reservations,6,13,Food Porn 2,Los Angeles,USA,NA,NA,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,34.0522342,-118.2436849,"Season 6 | Ep. 13 | Los Angeles, USA",USA
No Reservations,6,14,Caribbean Island Hopping,St. Vincent and the Grenadines,St. Vincent and the Grenadines,NA,"12.984305,-61.287228",http://www.noreservationslocations.com/caribbean-island-hopping-episode.html,12.984305,-61.287228,"Season 6 | Ep. 14 | St. Vincent and the Grenadines, St. Vincent and the Grenadines",St. Vincent and the Grenadines
No Reservations,6,14,Caribbean Island Hopping,Bequia,St. Vincent and the Grenadines,NA,"13.011706,-61.227231",http://www.noreservationslocations.com/caribbean-island-hopping-episode.html,13.011706,-61.227231,"Season 6 | Ep. 14 | Bequia, St. Vincent and the Grenadines",St. Vincent and the Grenadines
No Reservations,6,15,US Heartland,Livonia,United States,Michigan,"42.368370,-83.352710",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,42.36837,-83.35271,"Season 6 | Ep. 15 | Livonia, United States",USA
No Reservations,6,15,US Heartland,Columbus,United States,Ohio,"39.961176,-82.998794",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,39.961176,-82.998794,"Season 6 | Ep. 15 | Columbus, United States",USA
No Reservations,6,15,US Heartland,Minneapolis,United States,Minnesota,"44.977753,-93.265011",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,44.977753,-93.265011,"Season 6 | Ep. 15 | Minneapolis, United States",USA
No Reservations,6,15,US Heartland,Denver,United States,Colorado,"39.739236,-104.990251",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,39.739236,-104.990251,"Season 6 | Ep. 15 | Denver, United States",USA
No Reservations,6,15,US Heartland,Austin,United States,Texas,"30.267153,-97.743061",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,30.267153,-97.743061,"Season 6 | Ep. 15 | Austin, United States",USA
No Reservations,6,15,US Heartland,Milwaukee,United States,Wisconsin,"43.038902,-87.906474",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,43.038902,-87.906474,"Season 6 | Ep. 15 | Milwaukee, United States",USA
No Reservations,6,16,Liberia,Monrovia,Liberia,NA,"6.290743,-10.760524",http://www.noreservationslocations.com/liberia-episode.html,6.290743,-10.760524,"Season 6 | Ep. 16 | Monrovia, Liberia",Liberia
No Reservations,6,16,Liberia,Robertsport,Liberia,NA,"6.750906,-11.367219",http://www.noreservationslocations.com/liberia-episode.html,6.750906,-11.367219,"Season 6 | Ep. 16 | Robertsport, Liberia",Liberia
No Reservations,6,17,"Kerala, India",Kerala,India,NA,"10.850516,76.271083",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,10.850516,76.271083,"Season 6 | Ep. 17 | Kerala, India",India
No Reservations,6,18,Where It All Began,New York City,USA,NA,NA,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,40.7127753,-74.0059728,"Season 6 | Ep. 18 | New York City, USA",USA
No Reservations,6,19,Dubai,Dubai,United Arab Emirates,NA,"25.204849,55.270783",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,25.204849,55.270783,"Season 6 | Ep. 19 | Dubai, United Arab Emirates",United Arab Emirates
No Reservations,6,20,Rome,Rome,Italy,NA,"41.902783,12.496366",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,41.902783,12.496366,"Season 6 | Ep. 20 | Rome, Italy",Italy
No Reservations,6,21,Back to Beirut,Beirut,Lebanon,NA,"33.893791,35.501777",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,33.893791,35.501777,"Season 6 | Ep. 21 | Beirut, Lebanon",Lebanon
No Reservations,6,22,Making of India,Kerala,India,NA,NA,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,10.8505159,76.2710833,"Season 6 | Ep. 22 | Kerala, India",India
No Reservations,6,23,What Were We Thinking Special,New York City,USA,NA,NA,https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,40.7127753,-74.0059728,"Season 6 | Ep. 23 | New York City, USA",USA
No Reservations,6,24,100th Episode - Paris,Paris,France,NA,"48.856614,2.352222",https://en.wikipedia.org/wiki/Anthony_Bourdain:_No_Reservations,48.856614,2.352222,"Season 6 | Ep. 24 | Paris, France",France
